id,question,choice_0,choice_1,choice_2,choice_3,answer,gemma,gemma_conf,gemma_it,gemma_it_conf
29,"Un hombre joven llamó a un amigo ocasional para reunirse después del trabajo e ir a un telesilla de esquí cercano. Cada uno subió en el telesilla individualmente, porque a ninguno le gustaba compartir. Cerca de la cima de la montaña, el amigo se cayó del telesilla y sufrió lesiones. El joven decidió entonces que ya había tenido suficiente esquí, pero su amigo le gritó: ""...¡tienes que ayudarme! ¡Tienes que llamar a alguien! ¡No puedo caminar y es tu culpa que yo esté aquí arriba!"" El hombre no respondió y se fue a su casa. Su amigo murió congelado sin que jamás le llegara ayuda. Las personas en el telesilla detrás de ellos oyeron y vieron todo, y la fiscalía investigó el incidente como un posible homicidio por negligencia. ¿Cuál es la decisión más probable del fiscal?","El fiscal no presentará cargos porque los dos hombres no estaban relacionados entre sí de una manera que pudiera crear un deber, ni existía una relación especial que creara un deber.",El fiscal no presentará cargos porque el hombre no infringió ninguna ley cuando se marchó y no importa cuál fuera la relación entre ellos.,El fiscal presentará cargos porque hay testigos presenciales que declararán sobre el comportamiento insensible del joven hacia su amigo.,El fiscal presentará cargos porque su amistad era una relación especial que creaba un deber legal de actuar para el hombre.,A,D,0.5097,A,0.6502
30,"Un propietario de vivienda otorgó una escritura por la cual transmitió su casa y el terreno circundante, por una contraprestación de un dólar, cuya recepción quedó reconocida, ""a mi hija de por vida, luego a mi tía de por vida, pero si mi tía se muda a otro estado, a mi hermana durante la vida de mi tía, luego a los herederos de mi tía si mi tía no se muda a otro estado, y a los herederos de mi hermana si mi tía sí se muda a otro estado."" Esta escritura fue inscrita sin demora. Durante la vida de la hija, el interés de la tía puede describirse mejor como",un derecho remanente contingente (contingent remainder).,un interés ejecutorio traslativo (shifting executory interest).,un derecho remanente consolidado sujeto a desposeimiento total (vested remainder subject to complete divestiture).,un derecho remanente consolidado sujeto a desposeimiento parcial (vested remainder subject to partial divestiture).,C,A,0.4489,A,0.9496
31,"Un estado de la costa este tiene un largo tramo de costa marítima pintoresca, ecológicamente única y relativamente virgen. La mayor parte del litoral es de propiedad privada de personas que tienen residencias permanentes o vacacionales en sus tierras costeras. Un hombre compró una parcela de dos acres de terreno litoral (es decir, costero) en el estado. Cuando el hombre compró la propiedad, había un estrecho paseo de concreto (de unos 20 pies de largo y 5 pies de ancho) colindante con el terreno. El paseo, que estaba diseñado para proporcionar acceso peatonal a la playa, era propiedad de la Comisión Costera del Estado (State Coastal Commission). Cuando el hombre se mudó a su casa de playa, notó que el paseo rara vez se usaba. En consecuencia, el hombre decidió cercar el paseo y construir una cancha de pádel sobre toda el área. Lo hizo sin notificar a la Comisión Costera del Estado. Ha continuado usando esta área durante un período superior al requerido para la usucapión (adverse possession). En una acción apropiada interpuesta por el hombre para establecer el título sobre el área del paseo, ¿cuál de los siguientes extremos debe acreditar para prevalecer?",Que los derechos sobre bienes inmuebles pueden ser abandonados por una entidad gubernamental sin una votación oficial.,Que la falta de uso del paseo por parte del estado creó a su favor una licencia irrevocable.,Que los derechos sobre bienes inmuebles pueden ser perdidos por un estado mediante usucapión.,"Que, debido a un defecto en la cadena de títulos, el estado no es propietario de esta porción de terreno.",D,C,0.5502,C,0.6183
32,"Una ordenanza municipal dispone que será ilegal que cualquier persona arroje basura en un parque público, y que la infracción de esta ordenanza se sancionará con una multa de no más de $100 o con prisión de no más de 30 días. Un manifestante organizó una protesta contra el apoyo del gobierno federal a los rebeldes de un país extranjero. La concentración tuvo lugar en un parque de la ciudad y atrajo a unos 100 simpatizantes. Durante la concentración, el manifestante pronunció un discurso ante los asistentes. Al concluir su discurso, el manifestante dijo: ""Estoy harto de la basura con la que esta administración se está saliendo con la suya. Esto es lo que pienso de su política de ayuda a los rebeldes..."" En ese momento, el manifestante se acercó a un bote de basura y vació su contenido en el suelo. Mientras la multitud vitoreaba con entusiasmo, el manifestante gritó: ""No más ayuda a los rebeldes... ¡detengamos esta basura ahora!"" Después de ensuciar el parque, el manifestante y sus simpatizantes se marcharon sin recoger la basura. Como cuestión de derecho constitucional, ¿puede el manifestante ser procesado conforme a la mencionada ordenanza municipal por arrojar basura en el parque público?","No, porque arrojar basura en el parque en estas circunstancias podría interpretarse como expresión simbólica y, por lo tanto, está protegido frente a la regulación gubernamental por la Primera y la Decimocuarta Enmiendas.","No, porque los hechos no indican que las acciones del manifestante presentaran un peligro claro y actual que fuera probable que produjera o incitara una acción ilegal inminente, lo que haría necesaria una restricción de su libertad de expresión.","Sí, porque la ordenanza municipal promueve un interés público importante y legítimo y no está dirigida a la supresión de la comunicación.","Sí, porque arrojar basura en el parque es conducta, no expresión y, por lo tanto, la ley no puede tratarlo como comunicación.",C,A,0.4032,A,0.9932
33,"Debido a una escasez grave, repentina e imprevista de combustible para calefacción, el Presidente ha ordenado que todas las oficinas de los organismos ejecutivos federales abran solo cuatro días por semana. La orden del Presidente permite una excepción en la medida en que circunstancias de emergencia requieran horarios de funcionamiento diferentes (como en el caso de los hospitales federales). Cuando el Congreso promulgó la ley de asignaciones presupuestarias para el funcionamiento de todos los organismos ejecutivos federales, sus miembros asumieron que las oficinas de esos organismos estarían abiertas cinco días por semana, pero el Congreso no incluyó tal requisito en su ley de asignaciones ni en ninguna otra ley. ¿Es constitucional la orden del Presidente?","No, porque los titulares de los diversos organismos ejecutivos tienen la responsabilidad final sobre el funcionamiento de las oficinas de esos organismos.","No, porque cuando aprobaron la ley que asignaba fondos para el funcionamiento de los organismos ejecutivos, los miembros del Congreso asumieron que las oficinas de esos organismos estarían abiertas cinco días por semana.","Sí, porque la Constitución confiere al Presidente autoridad plenaria para dirigir la administración de todos los organismos federales de la manera que el Presidente considere conveniente.","Sí, porque la orden se refiere a la gestión del poder ejecutivo y no está prohibida por ninguna ley.",B,C,0.3615,B,0.9884
34,"Puede transcurrir un período de tiempo sustancial entre la formación del contrato y la culminación final de la ejecución. En relación con estos contratos pendientes de ejecución (executory contracts), ¿cuál de las siguientes afirmaciones es la menos correcta?",Un contrato totalmente pendiente de ejecución es aquel en el que solo se han intercambiado promesas y no ha habido ejecución por ninguna de las partes.,Un contrato parcialmente ejecutado significa que una parte ha completado la ejecución mientras que la otra parte solo ha prometido.,Un contrato ejecutado existe cuando ambas partes han cumplido plenamente y no quedan obligaciones pendientes.,Un contrato parcialmente ejecutado significa que al menos una parte ha comenzado la ejecución.,B,D,0.3825,B,0.4604
35,"Un cultivador de champiñones acordó en un escrito firmado el 2 de enero entregar a un chef de un restaurante local, el 1 de marzo, una cantidad especificada de champiñones a un precio especificado. Los champiñones de la granja del cultivador solían ser recolectados y empaquetados por los tres hijos del cultivador. El 27 de febrero, dos de los hijos resultaron heridos en un accidente agrícola y fueron hospitalizados. Como resultado, el cultivador se encontró con una escasez de mano de obra y no pudo procesar todos los champiñones para el pedido del chef. El 28 de febrero, el cultivador telefoneó al chef y le dijo: ""Debido a que mis dos hijos resultaron heridos ayer, no podré entregar sus champiñones el 1 de marzo. Sin embargo, estoy tratando de contratar otros trabajadores agrícolas para ayudar a procesar su pedido. Aunque no puedo prometerlo, debería poder entregar los champiñones para el final de la semana."" El chef, que sabía que los hijos del cultivador eran los responsables del cultivo de los champiñones, dijo: ""No hay problema. Creo que podré arreglármelas sin ellos por unos días. Sin embargo, tenga en cuenta que lo haré responsable de cualquier pérdida que yo sufra como resultado de su incumplimiento en la entrega de los champiñones el 1 de marzo."" Cuando el chef no recibió los champiñones el 5 de marzo, envió el siguiente fax al cultivador: ""Debo recibir los champiñones a más tardar el 9 de marzo."" Este fax fue recibido y leído por el cultivador el mismo día. Si el cultivador entrega los champiñones al chef el 9 de marzo y el chef los acepta, ¿puede el chef mantener con éxito una acción contractual contra el cultivador para recuperar los daños resultantes de la demora en la entrega?","No, porque una imposibilidad práctica temporal (temporary impracticability) lo eximió de su obligación de entregar los champiñones el 1 de marzo.","No, porque las declaraciones del comprador y la aceptación de los champiñones constituyeron una renuncia a la condición de entrega puntual.","Sí, porque sus declaraciones al cultivador no constituyeron una promesa de renunciar a ninguna acción legal que tuviera entonces o que pudiera adquirir posteriormente.","Sí, porque no hubo contraprestación que respaldara su renuncia, si la hubo, a la entrega puntual.",C,A,0.4596,C,0.9544
36,¿En cuál de las siguientes situaciones es más probable que la conducta del acusado lo haga penalmente responsable de la muerte de la víctima?,"Un acusado disparó a una víctima en la cabeza. La víctima fue llevada luego a un hospital para el tratamiento de la herida. Posteriormente, un terremoto sacudió la ciudad y provocó el derrumbe del hospital. La víctima murió aplastada entre los escombros.","Un acusado y una víctima vivían en el mismo edificio de apartamentos. El acusado sabía que la víctima tenía una relación amorosa con una mujer casada. Un día, el acusado se enteró de que la víctima iba a ser asesinada por el esposo de la mujer casada. Aunque el acusado tuvo tiempo de sobra para advertir a la víctima, no lo hizo. Esa noche, la víctima fue apuñalada mortalmente por el esposo.","Una víctima, que era jugador, tenía una fuerte deuda con la mafia. El acusado, que era un cobrador de la mafia, amenazó con matar a la víctima si no pagaba. Atemorizada, la víctima abordó el siguiente vuelo de avión fuera de la ciudad. El avión se estrelló y la víctima murió.","Un acusado y una víctima iban juntos en auto al trabajo cuando el acusado, sin provocación alguna, apuñaló a la víctima en el brazo. El acusado luego lo empujó fuera del auto. La víctima cayó al costado de la calle y se fracturó el tobillo. Incapaz de moverse de la calzada, la víctima murió aplastada media hora después por un auto conducido por un conductor ebrio.",D,B,0.3082,B,0.4287
37,"Un chico de 15 años bajaba en trineo por un sendero que atravesaba una zona boscosa de un terreno propiedad de una mujer. El chico había usado frecuentemente el sendero para andar en trineo durante los meses anteriores. El sendero, hecho de concreto, atravesaba el bosque desde una carretera pública hasta un estanque en la parte trasera de la propiedad de la mujer. Los residentes de las zonas vecinas usaban el sendero para andar en trineo y el estanque para patinar, sin el consentimiento de la mujer. Además, la mujer no colocó ningún letrero que prohibiera la entrada. Una mañana, después de que el chico había estado bajando en trineo por el sendero durante aproximadamente tres horas, perdió el control del trineo y lo dirigió contra un árbol. El chico sufrió lesiones graves en el choque. Si se interpone una demanda en nombre del chico contra la mujer por las lesiones personales del chico, el demandante","obtendrá indemnización, en virtud de la doctrina del ""peligro atrayente"" (attractive nuisance).","obtendrá indemnización, porque la mujer sabía o debería haber sabido de las frecuentes intrusiones.","no obtendrá indemnización, porque el chico era un intruso.","no obtendrá indemnización, porque un chico de 15 años debería haberse dado cuenta del riesgo.",D,A,0.3513,A,0.9557
38,"Un deudor debía a un acreedor $15,000 por una deuda que había quedado extinguida por la quiebra del deudor el año anterior. El deudor escribió una carta al acreedor indicando que le pagaría $10,000 provenientes del producto de la venta de su casa en pago de la deuda extinguida. Una semana después, el deudor se enteró de que la persona que había contratado la compra de su casa se retractó del trato. Como resultado, el deudor se negó a pagar cantidad alguna al acreedor. Si el acreedor demanda al deudor por incumplimiento de contrato, debería tener derecho a recuperar",nada.,"$10,000.00","$10,000, solo si el deudor tiene éxito en su demanda contra la persona que había contratado la compra de su casa.","$15,000.00",B,C,0.3332,A,0.6265
39,"Un propietario tenía el título en dominio pleno (fee simple) sobre una parcela de 20 acres ubicada fuera de los límites de la ciudad. Posteriormente, el propietario construyó un centro comercial en la propiedad y arrendó edificios comerciales e instalaciones de estacionamiento a diversos arrendatarios. El centro comercial, que estaba ubicado cerca de una escuela secundaria pública, atraía a muchos adolescentes que a menudo merodeaban por el estacionamiento. Los jóvenes frecuentemente acosaban a los compradores y dañaban los autos rompiendo los limpiaparabrisas y las antenas de radio. Habitualmente, el departamento de policía local patrullaba el centro comercial y pasaba en auto tres o cuatro veces al día. Esto, sin embargo, no impedía que los adolescentes frecuentaran el centro comercial. Una tarde, una compradora estaba haciendo compras en el centro cuando un joven no identificado dañó su auto arrojando una piedra a través de la ventana trasera. La compradora interpone una acción contra el propietario para obtener indemnización por el daño a su auto. Lo más probable es que ella","prevalezca, a menos que pueda identificarse a la persona responsable de dañar su auto.","prevalezca, si el daño a su auto podría haberse evitado si el propietario hubiera tomado medidas de seguridad razonables.","no prevalezca, porque el auto fue dañado por los actos maliciosos de un tercero independiente.","no prevalezca, porque la policía local tenía el deber primario de brindar protección de seguridad en la zona comercial.",B,B,0.3873,B,0.9936
40,"Un ecologista estaba muy interesado en los asuntos ambientales, en particular la protección de los humedales. Decidió excavar el césped de su patio trasero y convertir el espacio en un pantano cenagoso. Con el tiempo, su patio trasero se llenó de hierbas altas, juncos y otras plantas de pantano. Una amplia variedad de ranas, tortugas, serpientes, aves y otros animales habitaba el patio. El suelo solía estar cubierto por varias pulgadas de agua estancada. Los vecinos del ecologista no estaban satisfechos con el estado del patio del ecologista. Se quejaban de que producía malos olores y afirmaban que el agua estancada era un criadero de mosquitos y otros insectos. Varios meses después de que el ecologista convirtiera su patio en un pantano, un inversionista inmobiliario compró la casa más cercana al pantano del patio trasero del ecologista. El inversionista vivía en una gran ciudad a varios cientos de millas de distancia, y compró la casa contigua a la del ecologista con fines de inversión. El inversionista arrendó la casa a una familia mediante un contrato de arrendamiento a largo plazo. La familia arrendataria se quejaba con frecuencia ante el inversionista de las molestias causadas por el patio del ecologista. Si el inversionista formula una pretensión por perturbación molesta (nuisance) contra el ecologista, la mejor defensa del ecologista sería",que tenía razones ambientales fundadas para mantener la condición pantanosa de su patio.,que convertir su patio en un pantano cenagoso no infringía ninguna ordenanza de zonificación.,"que el inversionista es propietario del inmueble pero lo ha arrendado, de modo que el inversionista no tiene la posesión efectiva ni el derecho a la posesión inmediata del terreno.","que cuando el inversionista compró la casa, conocía o debía haber conocido la condición pantanosa de la propiedad del ecologista.",C,A,0.3758,C,0.3967
41,"Un agente de policía trabajó en el cuerpo de policía de una ciudad durante 10 años. Cuando el agente aceptó el empleo, el plan de prestaciones para empleados de la ciudad otorgaba una prestación por fallecimiento al cónyuge de cualquier empleado que muriera como consecuencia de una lesión relacionada con el trabajo. El año pasado, la ciudad modificó su plan de prestaciones para empleados a fin de denegar la prestación por fallecimiento en los casos en que la muerte ""fuera causada por la negativa del empleado a aceptar, por cualquier razón distinta de su riesgo excesivo para la vida o la salud, atención médica razonablemente disponible prescrita por un médico"". Después de que esta modificación entró en vigor, el agente recibió un disparo mientras estaba de servicio. Debido a una creencia religiosa sincera, el agente se negó a permitir una transfusión de sangre prescrita y, como resultado, murió por pérdida de sangre. Cuando el cónyuge del agente solicitó la prestación por fallecimiento, la ciudad denegó la solicitud con fundamento en la modificación del plan de prestaciones para empleados. El cónyuge del agente ha impugnado la modificación, alegando que, tal como se aplicó al agente, violó el derecho constitucional del agente al libre ejercicio de la religión. ¿Es probable que el tribunal declare constitucional la modificación del plan de prestaciones para empleados tal como se aplicó al agente?","No, porque en la práctica discrimina una práctica religiosa.","No, porque viola los derechos contractuales adquiridos de los empleados de la ciudad que fueron contratados antes de que la modificación entrara en vigor.","Sí, porque no singulariza las razones religiosas para la denegación de prestaciones y constituye una limitación razonable al otorgamiento de tales prestaciones.","Sí, porque impone una condición únicamente al otorgamiento de una prestación gubernamental y no impone una sanción a la conducta de un individuo.",C,C,0.6487,C,0.6463
42,"La policía recibió información de un informante confiable de que un acusado iba a extorsionar a una víctima. El informante dio a la policía detalles explícitos sobre el plan de extorsión: el acusado llamaría a la víctima desde una cabina telefónica pública situada en determinada esquina, en cierta fecha y hora, para formular la exigencia extorsiva. Sin notificar a la compañía telefónica ni solicitar una orden judicial, la policía instaló un dispositivo de escucha en el teléfono público. A la hora y en la fecha indicadas por el informante, el acusado telefoneó a la víctima desde la cabina telefónica y dijo: ""Más te vale pagarme $5,000 antes de la próxima semana o los mataré a ti y a tu familia"". El acusado proporcionó detalles adicionales sobre cómo y dónde efectuar el pago. Con base en la conversación grabada, la policía arrestó al acusado y lo imputó por extorsión. Antes del juicio, el abogado del acusado solicita que se excluya de la prueba la conversación grabada. La solicitud de la defensa debe ser","concedida, porque la policía no obtuvo una orden judicial antes de instalar el dispositivo de escucha.","concedida, porque la policía no obtuvo la aprobación previa de la compañía telefónica antes de instalar el dispositivo de escucha.","denegada, porque el acusado no tenía una expectativa razonable de privacidad.","denegada, porque la policía tenía causa probable con base en la información proporcionada por el informante.",A,A,0.3818,D,0.9989
43,"Un hombre y una mujer conducían en dirección este por una carretera de montaña empinada, sinuosa y de dos carriles. La mujer conducía delante del hombre. Cuando el hombre se aproximó a la parte trasera del automóvil de la mujer, se impacientó e intentó adelantarla en un tramo de la carretera señalizado como zona de adelantamiento prohibido. Cuando el hombre desvió su automóvil hacia el carril en dirección oeste para adelantar a la mujer, no vio a otro conductor que tomaba una curva en el carril en dirección oeste. Para evitar una colisión frontal con el hombre, el otro conductor desvió su automóvil hacia el arcén de la vía. Sin embargo, el otro conductor no pudo controlar su automóvil en la estrecha franja del arcén, y el vehículo cayó por la empinada montaña. Tanto el hombre como la mujer vieron el automóvil del otro conductor deslizarse ladera abajo. Detuvieron de inmediato sus vehículos y caminaron hasta el borde de la vía en busca del automóvil. Vieron el automóvil del otro conductor volcado en una hondonada a unos 200 pies montaña abajo. El hombre y la mujer oyeron al otro conductor gemir y pedir ayuda. Sin embargo, el hombre y la mujer no prestaron asistencia alguna. Regresaron a sus automóviles y se marcharon. Aunque el hombre y la mujer pasaron por una zona comercial poco después, no informaron del accidente ni buscaron ayuda para el otro conductor. Horas más tarde, el otro conductor murió a causa de las lesiones sufridas en el accidente. Si el hombre y la mujer son posteriormente procesados por la muerte del otro conductor, el resultado más probable sería que",el hombre y la mujer son ambos culpables de homicidio culposo (manslaughter).,solo el hombre es culpable de homicidio culposo.,solo la mujer es culpable de homicidio culposo.,ni el hombre ni la mujer son culpables de homicidio culposo.,B,B,0.386,A,0.9943
44,"Un hombre envió por correo una carta a una mujer prometiendo venderle su motocicleta por $1,000. Tras recibir la carta, la mujer envió al hombre un fax que decía: ""El precio es un poco alto, le daré $800"". El hombre respondió por fax: ""No aceptaré $800"". Al día siguiente, la mujer telefoneó al hombre y le dijo: ""Cambié de opinión, pagaré $1,000 por la motocicleta"". El hombre se negó a venderle la motocicleta a la mujer. Si la mujer demanda al hombre por incumplimiento de contrato, ¿cuál de las siguientes defensas sería la mejor defensa del hombre?","Dado que la supuesta aceptación de la mujer fue verbal, constituyó un modo de comunicación diferente del de la oferta escrita.","El contrato era inexigible conforme al requisito legal de forma escrita (statute of frauds), porque la supuesta aceptación de la mujer fue verbal.",La contraoferta de la mujer extinguió su poder de aceptación.,El rechazo por el hombre de la contraoferta de la mujer extinguió el poder de aceptación de la mujer.,C,D,0.4087,D,0.9958
45,"Un inversionista poseía importantes intereses petroleros y mineros en las Montañas Rocosas. En julio de 1990, el inversionista adquirió el título de un terreno de 100 acres situado justo fuera de los límites de la ciudad, en una zona rural. En 1997, el inversionista decidió vender sus vastos intereses ganaderos y petroleros en las Montañas Rocosas. En julio, el inversionista transmitió el terreno por una contraprestación de un dólar, cuya recepción quedó reconocida, ""a mi sobrino, sus herederos y cesionarios, pero si la esposa de mi sobrino muere sin descendencia, a mi chef y sus herederos y cesionarios"". Después de tomar posesión del terreno de 100 acres, el sobrino descubrió considerables reservas de petróleo en la propiedad. Entonces inició operaciones de perforación petrolera y extrajo grandes cantidades de petróleo, que vendió. En ningún momento notificó a la chef sus actividades de perforación petrolera. Pasaron meses antes de que la chef se enterara de que el sobrino estaba vendiendo petróleo procedente de las operaciones de perforación. La chef ha interpuesto ahora una acción en equidad para obtener una rendición de cuentas del valor del petróleo extraído y una orden judicial que prohíba cualquier extracción adicional de petróleo. Si la esposa del sobrino hubiera muerto sin descendencia antes del inicio de las operaciones de perforación petrolera del sobrino, ¿mejoraría esto las probabilidades de éxito de la chef en comparación con la situación en que la esposa siguiera viva?","No, porque el derecho a extraer petróleo es un atributo inherente al derecho de posesión.","No, porque la naturaleza del derecho de propiedad del sobrino no se vería alterada por la muerte de la esposa.","Sí, porque la muerte de la esposa sin descendencia convertiría el dominio (fee) del sobrino en un interés reversionario.","Sí, porque aunque el sobrino aún conserva un dominio (fee), ahora sería seguro que este terminaría.",D,C,0.5231,C,0.992
46,"Un cliente habitual de un bar sabe que el dueño acostumbra guardar un arma escondida detrás de la barra. Una noche, el cliente estaba sentado en la barra y pidió un agua con gas. Después de servirle, el dueño caminó hacia el otro extremo de la barra para atender a otro cliente. Mientras lo hacía, el cliente se inclinó sobre la barra y agarró el arma. El cliente apuntó con el arma al dueño y dijo: ""Esto es un robo... entregue todo su dinero"". Sabiendo que el arma estaba descargada, el dueño se negó a obedecer. El cliente soltó el arma y salió corriendo del bar. Además del hurto del arma, el cliente será condenado por",tentativa de hurto.,tentativa de robo.,amenaza de agresión.,amenaza de agresión y tentativa de hurto.,B,D,0.3743,B,0.9282
47,"Una ciudad ha adoptado la siguiente ordenanza, que dispone: ""Sección 1: Será ilegal que cualquier persona, grupo u organización celebre una reunión de 50 personas o más en cualquier parque de la ciudad sin obtener primero un permiso municipal; Sección 2: La solicitud deberá especificar el día y las horas para las que se solicita el permiso. La tarifa será de $10 por hora, con una tarifa máxima de $50; Sección 3: Los permisos se expedirán por orden de solicitud; con la salvedad de que el jefe de policía denegará toda solicitud si, después de oír al solicitante, considera, según su juicio ponderado, que la reunión crearía una congestión de tráfico grave"". Un anarquista planeaba celebrar una manifestación de protesta contra el gobierno en una plaza de la ciudad. Aunque sus anteriores concentraciones de protesta contra el gobierno habían atraído a menos de 15 manifestantes, decidió solicitar un permiso conforme a la ordenanza municipal. Después de reunirse con el anarquista, el jefe de policía denegó su solicitud de permiso porque creía que la manifestación incitaría a los manifestantes y amenazaría con violencia inminente o desorden grave. El 4 de octubre, el anarquista y sus compañeros manifestantes llevaron a cabo su protesta contra el gobierno en un parque de la ciudad. La concentración atrajo solo a unos 17 manifestantes y se desarrolló pacíficamente. Cuando el anarquista pronunciaba sus palabras finales ante los reunidos, la policía de la ciudad llegó al parque y lo arrestó a él y a sus compañeros manifestantes, imputándoles la violación de la ordenanza municipal. En una acción posterior interpuesta por el anarquista ante un tribunal estatal impugnando la constitucionalidad de las Secciones 1 y 2 de la ordenanza municipal, lo más probable es que el tribunal declare estas secciones","constitucionales, porque un estado puede regular el impacto comunicativo de la conducta relacionada con la expresión.","constitucionales, porque las secciones mencionadas están comprendidas en el ámbito del poder de policía del estado.","inconstitucionales, porque la norma es vaga y excesivamente amplia.","inconstitucionales, porque la norma es una regulación de la expresión basada en el contenido.",B,A,0.3404,A,0.6409
48,"Un hombre, su sobrino y su hijo son los propietarios de tres lotes contiguos en la ciudad. Existe una pendiente descendente desde el terreno del hombre hacia el terreno del hijo. Los lotes del hombre y del sobrino se encontraban en estado natural, sin mejoras. El hijo, en cambio, había vivido durante 10 años en una casa que él mismo había construido en su propiedad. En 2009, el hombre plantó árboles y arbustos en su terreno a lo largo del lindero con el lote del sobrino. En 2010, el sobrino, en preparación para construir una casa en su lote, excavó cuidadosamente un área de ocho pies de profundidad con el fin de construir un sótano. El lado de la excavación más cercano al lindero entre el hombre y el sobrino se derrumbó repentinamente, y una cantidad de tierra, árboles y arbustos del hombre cayó en el hoyo. El sobrino retiró los escombros. En una acción apropiada del hombre contra el sobrino para obtener indemnización por el daño a su terreno, ¿a favor de quién debería dictarse sentencia?","Del sobrino, si realizaba los trabajos de excavación sin negligencia.","Del sobrino, porque no tenía ningún deber de dar sostén al terreno del hombre en su estado mejorado.","Del hombre, porque un propietario tiene derecho al sostén de su terreno en su condición natural.","Del hombre, porque un propietario tiene un derecho absoluto a que su terreno sea sostenido por el terreno vecino.",C,C,0.404,C,0.9173
49,"Una ciudad ha adoptado la ordenanza 172, que dispone: ""Sección 1: Será ilegal que cualquier persona, grupo u organización celebre una reunión de 50 personas o más en cualquier parque de la ciudad sin obtener primero un permiso municipal; Sección 2: La solicitud deberá especificar el día y las horas para las que se solicita el permiso. La tarifa será de $10 por hora, con una tarifa máxima de $50; Sección 3: Los permisos se expedirán por orden de solicitud; con la salvedad de que el jefe de policía denegará toda solicitud si, después de oír al solicitante, considera, según su juicio ponderado, que (a) la reunión crearía una congestión de tráfico grave, o (b) interferiría con el disfrute público del parque, o (c) los oradores de la reunión propugnarían la comisión de delitos"". Un estudiante de intercambio extranjero planeaba celebrar una manifestación en un parque de la ciudad. Aunque las anteriores concentraciones de protesta del estudiante habían atraído a menos de 25 manifestantes, decidió solicitar un permiso conforme a la ordenanza municipal 172. Después de reunirse con el estudiante, el jefe de policía denegó su solicitud de permiso porque creía que la manifestación incitaría a los manifestantes y amenazaría con violencia inminente o desorden grave. Posteriormente, el estudiante y sus compañeros manifestantes llevaron a cabo su concentración en el parque. La concentración atrajo solo a unos 20 manifestantes y se desarrolló pacíficamente. Cuando el estudiante pronunciaba sus palabras finales ante los reunidos, la policía llegó al parque y arrestó al estudiante y a sus compañeros manifestantes, imputándoles la violación de la ordenanza 172. ¿Cuál de las siguientes sería la afirmación más precisa con respecto al arresto del estudiante y de los demás manifestantes?","La policía estaba justificada al arrestar al estudiante, porque él y sus compañeros manifestantes violaron la ordenanza al llevar a cabo la concentración.","La policía estaba justificada al detener la concentración y arrestar a los manifestantes, debido a la amenaza de un disturbio físico inminente.","La policía no estaba justificada al arrestar al estudiante y a los manifestantes, porque estos no violaron la ordenanza.","La policía no estaba justificada al arrestar al estudiante, porque el grupo no estaba obligado a cumplir la ordenanza.",C,C,0.3255,C,0.916
50,"Un hombre cometió una serie de crímenes atroces, incluido un secuestro, que lo llevaron a cruzar límites estatales y violaron la ley federal. Fue condenado y recibió una pena de cadena perpetua. Sin embargo, el delincuente fue indultado por el Presidente de los Estados Unidos, que era un amigo de la infancia. Se produjo un gran clamor público, y los comentaristas de televisión proclamaron que se necesitaba legislación para impedir que semejante injusticia volviera a ocurrir. ¿Sería constitucional tal legislación?","No. Aunque lo que hizo el presidente no fue una buena idea, la Constitución otorga expresamente al Presidente una facultad de indulto sin restricciones.","Sí, conforme al Artículo I.","Sí, conforme al Artículo II.","Sí, porque el Congreso puede imponer límites a la facultad de indulto.",A,A,0.3639,D,0.9114
51,"Una ley estatal tipificaba como delito ser adicto al uso de estupefacientes. Un hombre fue arrestado y acusado del delito de adicción a las drogas. Dos agentes testificaron que examinaron marcas de ""pinchazos"" en los brazos y muñecas del acusado, y que este admitió haber consumido drogas en el pasado. El acusado testificó que no era adicto y que las marcas se debían a una reacción alérgica. El tribunal de primera instancia instruyó al jurado que podía declararlo culpable con la prueba de que era adicto, sin prueba del consumo de drogas. El jurado no creyó las negaciones del acusado y lo declaró culpable con base en las marcas de pinchazos observadas. El tribunal lo condenó a seis meses de prisión. El acusado apeló, alegando un castigo cruel e inusual prohibido por las Enmiendas Octava y Decimocuarta de la Constitución de los Estados Unidos. ¿Es probable que la condena sea revocada en apelación?","No, porque el arresto se basa en el uso habitual de estupefacientes ilegales y es una preocupación legítima del derecho penal.","No, porque el estado tiene la facultad de prohibir el uso de estupefacientes dentro de sus fronteras y eso es lo que hace esta ley.","Sí, porque la ley tipifica como delito el uso de drogas ilegales, lo cual constituye un castigo cruel e inusual.","Sí, porque la ley castiga el hecho de padecer la enfermedad de la adicción a las drogas, lo que equivale a castigar a alguien por tener un resfriado, y por lo tanto constituye un castigo cruel e inusual.",D,D,0.498,D,0.9992
